Summary ,Action,Data,Expected Result
Apps_Spotify_Volume Management and Audio Alignment during Switch between Spotify<>Live TV/apps,"Select a Spotify  song and play it
Adjust the volume using the Volume Up (+) and Volume Down (-) buttons within the Spotify  app, check that volume bar is displayed correctly.
Switch from the Spotify music to live TV channel
* Verify on the launched channel that Volume settings (mute, Volume Up (+) , Volume Down (-) ) behave consistently across both Spotifyand live TV.
 * Mute should stay mute, and volume adjustments should affect live TV audio as expected.
Switch from Spotify to another app. Verify that volume settings (mute, volume up, and volume down) behave consistently:
 * *Mute:* Ensure that muting remains effective across both Spotify and live TV.
 * *Volume Adjustments:* Check that volume increases and decreases correctly impact the audio of the live TV channel, just as they did with Spotify.",,"Music plays correctly, and player display elements (timeline..) update as expected.
Volume adjusts smoothly and the volume level is accurately displayed on-screen for Spotify music
Live TV is launched correctly with no audio loss, mixed audio (with spotify music) or glitch...
* Volume settings (mute, Volume Up (+) , Volume Down (-) ) behave consistently across both HBO Max and live TV.
 * Mute stays mute, and volume adjustments are the same on Live and HBO Max.
The volume level remains consistent across both Spotify and App:
 * Mute stays mute, and volume adjustments are the same on Live and Spotify

Audio on the chosen app's content is launched correctly with no audio loss, mixed audio (with spotify music) or glitch issues..."
Apps_Spotify_Spotify Connect Control with iPhone and Android Devices,"Open the Spotify app on the Android Devise, select the DUT from the Spotify Connect device list.
Use the Android device to control playback (play/pause, next/previous, FFWD/FRWD) and adjust the volume.
Use the RCU to control playback (play/pause, next/previous, FFWD/FRWD) and adjust the volume.
Use the Spotify UI directly on the DUT to control playback (play/pause, next/previous,  FFWD/FRWD) and adjust the volume.
Alternate control between the Android device, RCU, and Spotify UI on the DUT multiple times.
Redo steps 1 to 5 using an iPhone Device",,"The Android device connects to the DUT, Spotify player is launched  and music starts playing correctly on the DUT.
Playback controls and volume adjustments are applied correctly on the DUT.
Playback controls and volume adjustments via the RCU are applied correctly, with no hangs or audio bad quality issues.
Playback controls and volume adjustments via the Spotify UI on the DUT are applied correctly, with no hangs or audio glitches or bad quality issues.
No hangs occur, and control switches smoothly between all methods.
Spotify Connect functions as expected with  iPhone devices"
Apps_Spotify_Launch from everywhere,"From the Android menu, go to Apps and launch the Spotify application.
Go back to Home page and press the Spotify button on the RCU.

{*}Note{*}: skip this step if device has no Spotify button on RCU
Ensure you're on an other location (on Live channel for example), Using GVA, say ""OK Google Open  Spotify "".

{*}Note{*}: Only required for VSBs

GVA= Google Voice Assistant
while DUT is displaying live, the launcher, or under another app (out of Netflix app), using the Mic on the RCU, say ""Open Spotify"".
Open apps area from your launcher then select  Spotify app.",,"Spotify application is launched correctly with no crash or black screen.
Spotify app is launched correctly
Spotify app is correctly launched
Spotify is correctly launched
Spotify app can be launched from Custom/Standard launcher"
Apps_HBOMax_Playback Verification for Various Supported Resolutions and Audios Formats,"Navigate on HBP Max App Home page and play a 4K UHD content.
Go back to  HBP Max App categories then  select and play a HDR then HDR10 contents for few minutes.

{*}Note{*}: Ensure That HDR/HDR10 are supported by your DUT

{*}Note{*}: If you have HDR10 content, it means that the content supports HDR (High Dynamic Range) because HDR10 is a specific standard within the broader HDR category.
Press back button, navigate to the search icon, and search for Dolby Vision videos (e.g., ""Watchers""). 

{*}Note{*}:

Ensure That Dolby Vision is supported by your DUT.

Ensure you have an HBP Max App subscription with Dolby Vision support.
From  HBP Max App UI, search for Dolby Atmos videos (e.g., ""House of the Dragons""), then select a video.
{*}Note{*}:

Ensure That Dolby Atmos is supported by your DUT.

Ensure you have an HBO Max app subscription with Dolby Vision support.","Example: Watchers
Example: Watchers","The UHD icon is displayed on the video details, and the content plays smoothly without any buffering or quality issues.
The HDR/HDR10 icon is displayed on video's details page. The content plays smoothly with HDR enabled, providing enhanced color and contrast.
Results page are displayed for the required content, The Dolby Vision icon is displayed on each video's details page.

Once watch option is confirmed, The content plays smoothly with Dolby Vision enabled, providing enhanced color, contrast, and dynamic range.
Results page is displayed for the required contentThe Dolby atmos icon is displayed on each video's details page.

Once watch option is confirmed, the *content plays smoothly with Dolby Atmos audio, providing an immersive sound experience without any audio lag or desynchronization.*"
Apps_HBOMax_Launch from everywhere,"From the Android menu, go to Apps and launch the HBO Max application.
Go back to Home page and press the HBO Max button on the RCU.

{*}Note{*}: skip this step if device has no HBO Max button on RCU
Ensure you're on an other location (on Live channel for example), Using GVA, say ""OK Google Open HBO Max "".

{*}Note{*}: Only required for VSBs

GVA= Google Voice Assistant
while DUT is displaying live, the launcher, or under another app (out of HBO Max app), using the Mic on the RCU, say ""Open  HBO Max"".
Open apps area from your launcher then select HBO Max app.",,"HBO Max application is launched correctly with no crash or black screen.
HBO Max app is launched correctly
HBO Max+ app is correctly launched
HBO Max is correctly launched
HBO Max app can be launched from Custom/Standard launcher"
Apps_HBO Max_End-User Journey,"Open the HBO Max application and sign in with a valid account.
Switch between different profiles.
Navigate through different categories and menus (e.g., Movies, Series, New Releases) by scrolling up, down, left, and right. Verify that all menus, including settings, are accessible.
On the content details page, verify the presence of resolution and format icons (e.g., HDR, 4K, Dolby Vision, Dolby Atmos) and rating information.
Navigate to the search icon, and try to search  for a specific content (e.g., movie, series).
Select any content from the search results and verify that the content details page is displayed with correct information.
Play a Serie's episode.
During playback of the episode, use trickmode controls (fast forward, rewind, pause/play) via the remote control.
while playing the series episode, allow the episode to finish or skip to the end.
On the content details page, add the selected episode or trailer to 'My List'.
Exit the HBO Max application and then reopen it. Navigate to the previously added content in 'My List' and select it.",,"Successful sign-in, followed by the profile selection screen.
Profiles switch successfully, and the appropriate content for each profile is displayed.
Smooth navigation across all menus and categories with no lag.
The content details page displays correct information, including resolution and format icons (e.g., HDR, 4K) and rating information.
The search returns relevant results, and the content is selectable.
The content details page displays correct information, including resolution and format icons, synopsis, Metadata (essential details like release year, genre, episode list,..)
The episode plays smoothly with proper video and audio quality and synchronization.
Trickmode functions work correctly:

  - {*}Rewind{*}: Timeline updates correctly, showing a jump backward.

  - {*}Fast Forward{*}: Timeline updates correctly, showing a jump forward.

  - {*}Pause/Play{*}: Accurate pause/play response, with the timeline reflecting the pause position.
Upon completion of an episode, the next episode plays automatically or an option to play the next episode appears.

{*}Note{*}: ""Skip Intro"" option if available on the next episode can be skipped
The content is successfully added to 'My Stuff'.
-The application exits and restarts correctly.

-The previously added content in 'My List' is accessible, and the content can be played from where it was left off or from the beginning if it is a new session."
Apps_HBO Max_Volume Management and Audio Alignment during Switch between HBO Max<>Live TV/apps,"Select a HBO Max content and play it
Adjust the volume using the Volume Up (+) and Volume Down (-) buttons within the Disney+ app, check that volume bar is displayed correctly.
Switch from the HBO Max app to live TV channel
* Verify on the launched channel that Volume settings (mute, Volume Up (+) , Volume Down (-) ) behave consistently across both HBO Max and live TV.
 * Mute should stay mute, and volume adjustments should affect live TV audio as expected.
Switch to an other app, verify the following:
 * Attempt to adjust the volume (mute, Volume Up (+) , Volume Down (-) ).
 * Ensure that if volume was muted or adjusted on HBO Max, the settings remain consistent and do not interfere with App audio.
 * Verify that volume adjustments on App are accurate and reflect the expected changes.",,"The selected video plays correctly. Audio and video are synchronized. No black screen, glitches, or crashes
Volume adjusts smoothly and the volume level is accurately displayed on-screen for Disney Plus content
Live TV is launched correctly with no black screen, audio loss, glitch...
* Volume settings (mute, Volume Up (+) , Volume Down (-) ) behave consistently across both HBO Max and live TV.
 * Mute stays mute, and volume adjustments are the same on Live and HBO Max.
* Volume settings (mute, Volume Up (+) , Volume Down (-) ) behave consistently across both HBO Max and the chosen app.
 * Mute stays mute, and volume adjustments are the same on Live and Disney+."
Apps_HBOMax_A/V Sync during Trickplay with Subtitle and Audio Management,"Select a video on the HBO Max app and play it.
Manage subtitles and check it's displayed as selected:
 * Enable subtitles.
 * Change subtitle language (if multiple languages are available).
 * Disable subtitles.
While subtitles are enabled on video, select video subtitles to change subtitles style and size and check it's correctly displayed on video
Manage audio settings:
 * Change the audio language.
 * Enable/disable audio description (if available).
Press the pause/play button many times and confirm playback pauses/resumes correctly.

*Note:* If the remote control doesn't have PLAY/PAUSE buttons, use only the OK button.
Display the command bar and press the remote control's RIGHT key to seek forward.
Display the command bar and press the remote control's LEFT key to seek backward.
If the remote control has dedicated FFWD/RWD buttons, repeat steps 6 & 7 using these buttons.",,"The selected video plays correctly with synchronized audio and video. No black screen, glitches, or crashes.
Subtitles display correctly, language changes are applied, and subtitles are synchronized with the video.

Disabling subtitles hides them correctly.
Subtitles are displayed with the selected style/size correctly
Audio changes are applied correctly 

Audio is synchronized with the video and thet displayed subtitles.
Video pauses and resumes correctly with proper audio/video synchronization.
Thumbnails are displayed correctly. Video jumps forward. Audio and video synchronization remains correct.
Thumbnails are displayed correctly. Video jumps backward. Audio and video synchronization remains correct.
Thumbnails are displayed correctly. Video jumps forward/backward  with correct audio/video synchronization."
Apps_DisneyPlus_Launch from everywhere,"From the Android menu, go to Apps and launch the Disney+ application.
Go back to Home page and press the Disney+ button on the RCU.

{*}Note{*}: skip this step if device has no Disney+ button on RCU
Ensure you're on an other location (on Live channel for example), Using GVA, say ""OK Google Open Disney+ "".

{*}Note{*}: Only required for VSBs

GVA= Google Voice Assistant
while DUT is displaying live, the launcher, or under another app (out of Amazon Prime app), using the Mic on the RCU, say ""Open Disney+"".
Navigate to apps area from your Custom/Standard launcher  then select Disney+ app.
If your home page has a section for favorite apps, select Disney+ App",,"Disney+ application is launched correctly with no crash or black screen.
Disney+ app is launched correctly
Disney+ app is correctly launched
Disney+ app is correctly launched
Disney+ app is correctly launched.
Disney+ app is correctly launched."
Apps_DisneyPlus_A/V Sync during Trick Play with Subtitle and Audio Management,"Select a video on the Disney+ app and play it.
Manage subtitles and check it's displayed as selected:
 * Enable subtitles.
 * Change subtitle language (if multiple languages are available).
 * Disable subtitles.
Manage audio settings:
 * Change the audio language.
 * Enable/disable audio description (if available).
Press the pause/play button many times and confirm playback pauses/resumes correctly.

*Note:* If the remote control doesn't have PLAY/PAUSE buttons, use only the OK button.
Display the command bar and press the remote control's RIGHT key to seek forward.
Display the command bar and press the remote control's LEFT key to seek backward.
If the remote control has dedicated FFWD/RWD buttons, repeat steps 6 & 7 using these buttons.",,"The selected video plays correctly with synchronized audio and video. No black screen, glitches, or crashes.
Subtitles display correctly, language changes are applied, and subtitles are synchronized with the video.

Disabling subtitles hides them correctly.
Audio changes are applied correctly 

Audio is synchronized with the video and thet displayed subtitles.
Video pauses and resumes correctly with proper audio/video synchronization.
Thumbnails are displayed correctly. Video jumps forward. Audio and video synchronization remains correct.
Thumbnails are displayed correctly. Video jumps backward. Audio and video synchronization remains correct.
Thumbnails are displayed correctly. Video jumps forward/backward  with correct audio/video synchronization."
Apps_DisneyPlus_Volume Management and Audio Alignment during Switch between Disney+<>Live TV/apps,"Select an Disney+ content and play it
Adjust the volume using the Volume Up (+) and Volume Down (-) buttons within the Disney+ app, check that volume bar is displayed correctly.
Switch from the Disney Plus app to live TV channel
* Verify on the launched channel that Volume settings (mute, Volume Up (+) , Volume Down (-) ) behave consistently across both Disney+ and live TV.
 * Mute should stay mute, and volume adjustments should affect live TV audio as expected.
Switch to an other app, verify the following:
 * Attempt to adjust the volume (mute, Volume Up (+) , Volume Down (-) ).
 * Ensure that if volume was muted or adjusted on Disney+, the settings remain consistent and do not interfere with App audio.
 * Verify that volume adjustments on App are accurate and reflect the expected changes.",,"The selected video plays correctly. Audio and video are synchronized. No black screen, glitches, or crashes
Volume adjusts smoothly and the volume level is accurately displayed on-screen for Disney Plus content
Live TV is launched correctly with no black screen, audio loss, glitch...
* Volume settings (mute, Volume Up (+) , Volume Down (-) ) behave consistently across both Disney+ and live TV.
 * Mute stays mute, and volume adjustments are the same on Live and Disney+.
* Volume settings (mute, Volume Up (+) , Volume Down (-) ) behave consistently across both Disney+ and the chosen app.
 * Mute stays mute, and volume adjustments are the same on Live and Disney+."
Apps_DisneyPlus_End-User Journey,"Open the Disney+ application and sign in with a valid account.
Switch between different profiles.
Navigate through different categories and menus (e.g., Movies, Series, New Releases) by scrolling up, down, left, and right. Verify that all menus, including settings, are accessible.
On the content details page, verify the presence of resolution and format icons (e.g., HDR, 4K, Dolby Vision, Dolby Atmos) and rating information.
Navigate to the search icon, and try to search  for a specific content (e.g., movie, series).
Select any content from the search results and verify that the content details page is displayed with correct information.
Play a Serie's episode.
During playback of the episode, use trickmode controls (fast forward, rewind, pause/play) via the remote control.
while playing the series episode, allow the episode to finish or skip to the end.
On the content details page, add the selected episode or trailer to 'My List'.
Exit the Disney+ application and then reopen it. Navigate to the previously added content in 'My List' and select it.",,"Successful sign-in, followed by the profile selection screen.
Profiles switch successfully, and the appropriate content for each profile is displayed.
Smooth navigation across all menus and categories with no lag.
The content details page displays correct information, including resolution and format icons (e.g., HDR, 4K) and rating information.
The search returns relevant results, and the content is selectable.
The content details page displays correct information, including resolution and format icons, synopsis, Metadata (essential details like release year, genre, episode list,..)
The episode plays smoothly with proper video and audio quality and synchronization.
Trickmode functions work correctly:

  - {*}Rewind{*}: Timeline updates correctly, showing a jump backward.

  - {*}Fast Forward{*}: Timeline updates correctly, showing a jump forward.

  - {*}Pause/Play{*}: Accurate pause/play response, with the timeline reflecting the pause position.
Upon completion of an episode, the next episode plays automatically or an option to play the next episode appears.

{*}Note{*}: ""Skip Intro"" option if available on the next episode can be skipped
The content is successfully added to 'WatchList'.
-The application exits and restarts correctly.

-The previously added content in 'My List' is accessible, and the content can be played from where it was left off or from the beginning if it is a new session."
Apps_DisneyPlus_Playback Verification for Various Supported Resolutions and Audios Formats,"Navigate on Disney+ Home page and play a 4K UHD content.
Go back to Disney+ categories then  select and play a HDR then HDR10 contents for few minutes.

{*}Note{*}: Ensure That HDR/HDR10 are supported by your DUT

{*}Note{*}: If you have HDR10 content, it means that the content supports HDR (High Dynamic Range) because HDR10 is a specific standard within the broader HDR category.
Press back button, navigate to the search icon, and search for Dolby Vision videos (e.g., ""Soul""). 

{*}Note{*}:

Ensure That Dolby Vision is supported by your DUT.

Ensure you have a Disney+ subscription with Dolby Vision support.
From Disney+ UI, search for Dolby Atmos videos (e.g., ""The Supremes""), then select a video.
{*}Note{*}:

Ensure That Dolby Atmos is supported by your DUT.

Ensure you have an Disney+ subscription with Dolby Vision support.","Example: Under The Bridge
Example: Soul","The UHD icon is displayed on the video details, and the content plays smoothly without any buffering or quality issues.
The HDR/HDR10 icon is displayed on video's details page. The content plays smoothly with HDR enabled, providing enhanced color and contrast.
Results page are displayed for the required content, The Dolby Vision icon is displayed on each video's details page.

Once watch option is confirmed, The content plays smoothly with Dolby Vision enabled, providing enhanced color, contrast, and dynamic range.
Results page is displayed for the required contentThe Dolby atmos icon is displayed on each video's details page.

Once watch option is confirmed, the *content plays smoothly with Dolby Atmos audio, providing an immersive sound experience without any audio lag or desynchronization.*"
Apps_DisneyPlus_Account and errors management,"On the Disney+ app sign-in screen there is an option to use a mobile device to connect to Disney+ app. Follow the displayed instructions and ensure DUT is signed in to Disney+
Restart DUT and Verify Account Persistence.
Put the DUT into standby mode, then wake it up.
Go to settings menu and select ""Sign Out.""
Reconnect using the remote control:
 * Enter incorrect credentials and check that you're unable to connect to account
 * Enter correct credentials and check user is signed in to Disney+ app.
Start playing content on the Netflix app, then unplug Ethernet cable
Connect Dut to WiFi then, while playing a Netflix content switch the DUT's connection from WiFi to Ethernet
From the Disney+ UI, go to ""Get Help"" and select ""Exit.""
Disconnect the DUT from the internet and try to relaunch the Disney+ app.",,"The user is successfully signed in on the DUT.
After the restart, the Disney+ app should open with the user still signed in, displaying the profile selection screen.
The user should remain signed in, and the Disney+ app and contents still exist.

{*}Note{*}: This test is to ensure account persistence
The account is signed out, and the device returns to the sign-in screen.
* An error message is displayed indicating incorrect credentials. The user remains on the sign-in screen.
 * DUT signs in to Disney+ app. and displays the profile selection screen.
The content should stop playing, and an error message should be displayed indicating a network issue.
The connection should be maintained, and the app should not crash.

The playback should resume smoothly after the switch.
The Disney+ app exits and returns to the main screen or launcher of the DUT
The app should display an error message indicating that an internet connection is required to access Disney+."
Apps_Amazon Prime_A/V Sync during Trick Play with Subtitle and Audio Management,"Select a video on the Amazon Prime app and play it.
Manage subtitles and check it's displayed as selected:
 * Enable subtitles.
 * Change subtitle language (if multiple languages are available).
 * Disable subtitles.
While subtitles are enabled on video, select video subtitles to change subtitles style and size and check it's correctly displayed on video
Manage audio settings:
 * Change the audio language.
 * Enable/disable audio description (if available).
Press the pause/play button many times and confirm playback pauses/resumes correctly.

*Note:* If the remote control doesn't have PLAY/PAUSE buttons, use only the OK button.
Display the command bar and press the remote control's RIGHT key to seek forward.
Display the command bar and press the remote control's LEFT key to seek backward.
If the remote control has dedicated FFWD/RWD buttons, repeat steps 6 & 7 using these buttons.",,"The selected video plays correctly with synchronized audio and video. No black screen, glitches, or crashes.
Subtitles display correctly, language changes are applied, and subtitles are synchronized with the video.

Disabling subtitles hides them correctly.
Subtitles are displayed with the selected style/size correctly
Audio changes are applied correctly 

Audio is synchronized with the video and thet displayed subtitles.
Video pauses and resumes correctly with proper audio/video synchronization.
Thumbnails are displayed correctly. Video jumps forward. Audio and video synchronization remains correct.
Thumbnails are displayed correctly. Video jumps backward. Audio and video synchronization remains correct.
Thumbnails are displayed correctly. Video jumps forward/backward  with correct audio/video synchronization."
Apps_Amazon Prime_Playback Verification for Various Supported Resolutions and Audios Formats,"Navigate on Amazone Prime Home page and play a 4K UHD content.
Go back to Amazon Prime categories then  select and play a HDR content for few minutes.

{*}Note{*}: Ensure That HDR is supported by your DUT
Press back button, navigate to the search icon, and search for Dolby Vision videos (e.g., ""Jack Ryan""). 

{*}Note{*}:

Ensure That Dolby Vision is supported by your DUT.

Ensure you have an Amazon Prime subscription with Dolby Vision support.
From Amazon Prime UI, search for Dolby Atmos videos (e.g., ""Jack Ryan""), then select a video.
{*}Note{*}:

Ensure That Dolby Vision is supported by your DUT.

Ensure you have an Amazon Prime subscription with Dolby Vision support.",Example: The Lord Of The Rings: The Rings Of Power,"The UHD icon is displayed on the video details, and the content plays smoothly without any buffering or quality issues.
The HDR icon is displayed on video's details page. The content plays smoothly with HDR enabled, providing enhanced color and contrast.
Results page is displayed for the required content, The Dolby Vision icon is displayed on each video's details page. Once watch option is confirmed, The content plays smoothly with Dolby Vision enabled, providing enhanced color, contrast, and dynamic range.
Results page is displayed for the required content, The Dolby atmos icon is displayed on each video's details page. Once watch option is confirmed, the content plays smoothly with Dolby Atmos audio, providing an immersive sound experience without any audio lag or desynchronization."
Apps_Amazon Prime_Volume Management and Audio Alignment during Switch between Amazon Prime<>Live TV/apps,"Select an Amazon Prime content and play it
Adjust the volume using the Volume Up (+) and Volume Down (-) buttons within the Amazon Prime app, check that volume bar is displayed correctly.
Switch from the Amazon Prime app to live TV channel
Verify on the launched channel that Volume settings (mute, Volume Up (+) , Volume Down (-) ) behave consistently across both Amazon Prime and live TV. Mute should stay mute, and volume adjustments should affect live TV audio as expected.
Switch to an other app, verify the following:
 * Attempt to adjust the volume (mute, Volume Up (+) , Volume Down (-) ).
 * Ensure that if volume was muted or adjusted on Amazon Prime, the settings remain consistent and do not interfere with App audio.
 * Verify that volume adjustments on App are accurate and reflect the expected changes.",,"The selected video plays correctly. Audio and video are synchronized. No black screen, glitches, or crashes
Volume adjusts smoothly and the volume level is accurately displayed on-screen for Amazon Prime content
Live TV is launched correctly with no black screen, audio loss, glitch...
Volume settings (mute, Volume Up (+) , Volume Down (-) ) behave consistently across both Amazon Prime and live TV. Mute should stay mute, and volume adjustments should affect live TV audio as expected.
Volume settings (mute, Volume Up (+) , Volume Down (-) ) should behave consistently across both Amazon Prime and the chosen app. Mute should stay mute, and volume adjustments should affect live TV audio as expected"
Apps_Amazon Prime_Account and Errors management,"On the Amazon Prime sign-in screen select, connect with ""On the web"" OPTION then enter your code on amazon prime site on your computer browser then verify that the user is signed in correcty on DUT once code is validated
Restart DUT and Verify Account Persistence.
Put the DUT into standby mode, then wake it up.
Go to settings menu and select ""Sign Out.""
Select a movie or a TV show and play its trailer.
Navigate to Settings and select ""Sign Out.""
On the Amazon Prime sign-in screen, scan the QR code displayed on the DUT using your mobile device and check once connected the screen is automatically updated and user is signed in DUT.

{*}Note{*}: Follow the displayed instructions on your DUT screen to connect
Start playing content on the Amazon Prime app, then unplug Ethernet cable
Connect Dut to WiFi, then, while playing an Amazon Prime content switch the DUT's connection from WiFi to Ethernet
Verify that  you can exit Amazon Prime app (use back button)
Disconnect the DUT from the internet and try to relaunch the Amazon Prime app.","URL: https://www.amazon.com/gp/video/ontv/code?ref_=atv_auth_red_aft
Example: Reacher","The user is successfully signed in on the DUT profiles selection page is displayed
After the restart, the Amazon Prime app should open with the user still signed in, displaying the profile selection screen.
The user should remain signed in, and the Amazon Prime app and contents still exist.

{*}Note{*}: This test is to ensure account persistence
The account is signed out, and the device returns to the sign-in screen.
The trailer plays smoothly without buffering or quality degradation.
User is signed out and and Amazon prime home page is relaunched
The user is successfully signed in on the DUT after scanning the QR code and profiles selection page is displayed
The content should stop playing, and an error message should be displayed indicating a network issue.
The connection should be maintained, and the app should not crash.

The playback should resume smoothly after the switch.
The Amazon Prime app exits and returns to the main screen or launcher of the DUT
The app should display an error message indicating that an internet connection is required to access/play Netflix contents"
Apps_Amazon Prime_Launch from everywhere,"From the Android menu, go to Apps and launch the Amazon Prime application.
Go back to Home page and press the Amazon Prime button on the RCU.

{*}Note{*}: skip this step if device has no Amazon Prime button on RCU
Ensure you're on an other location (on Live channel for example), Using GVA, say ""OK Google Open Amazon Prime "".

{*}Note{*}: Only required for VSBs

GVA= Google Voice Assistant
while DUT is displaying live, the launcher, or under another app (out of Amazon Prime app), using the Mic on the RCU, say ""Open Amazon Prime"".
Navigate to apps area from your Custom launcher  then select Amazon Prime app.
If your home page has a section for favorite apps, select Amazon Prime App",,"Amazon Prime application is launched correctly with no crash or black screen.
Amazon Prime app is launched correctly
Amazon Prime app is correctly launched
Amazon Prime app is correctly launched
Amazon Prime app is correctly launched.
Amazon Prime app is correctly launched."
Apps_AmazonPrime_End-User Journey,"Open the Amazon Prime application and sign in with a valid account.
Switch between different profiles.
Navigate through different categories and menus (e.g., Movies, Series, New Releases) by scrolling up, down, left, and right. Verify that all menus, including settings, are accessible.
On the content details page, verify the presence of resolution and format icons (e.g., HDR, 4K, Dolby Vision, Dolby Atmos) and rating information.
Navigate to the search icon, and try to search  for a specific content (e.g., movie, series).
Select any content from the search results and verify that the content details page is displayed with correct information.
Play a Serie's episode.
During playback of the episode, use trickmode controls (fast forward, rewind, pause/play) via the remote control.
while playing the series episode, allow the episode to finish or skip to the end.
On the content details page, add the selected episode or trailer to 'My List'.
Exit the Amazon Prime application and then reopen it. Navigate to the previously added content in 'My List' and select it.",,"Successful sign-in, followed by the profile selection screen.
Profiles switch successfully, and the appropriate content for each profile is displayed.
Smooth navigation across all menus and categories with no lag.
The content details page displays correct information, including resolution and format icons (e.g., HDR, 4K) and rating information.
The search returns relevant results, and the content is selectable.
The content details page displays correct information, including resolution and format icons, synopsis, Metadata (essential details like release year, genre, episode list,..)
The episode plays smoothly with proper video and audio quality and synchronization.
Trickmode functions work correctly:

  - {*}Rewind{*}: Timeline updates correctly, showing a jump backward.

  - {*}Fast Forward{*}: Timeline updates correctly, showing a jump forward.

  - {*}Pause/Play{*}: Accurate pause/play response, with the timeline reflecting the pause position.
Upon completion of an episode, the next episode plays automatically or an option to play the next episode appears.

{*}Note{*}: ""Skip Intro"" option if available on the next episode can be skipped
The content is successfully added to 'My Stuff'.
-The application exits and restarts correctly.

-The previously added content in 'My List' is accessible, and the content can be played from where it was left off or from the beginning if it is a new session."
Apps_Netflix_Cast functionality from an Android Smartphone/Tablet,"Open the Netflix app on the Android smartphone/tablet, launch a movie, then press the cast icon. Verify that the DUT name is displayed on the list and can be selected to connect.
Verify the content is played correctly on the DUT
Use the smartphone/tablet to perform trick mode (FFWD and FRWD) during casting.
Perform trick mode (FFWD and FRWD) during casting using the DUT remote and try to play/pause content.
Adjust the volume (Volume Up and Volume Down) on the smartphone/tablet during casting.
Adjust the volume (Volume Up and Volume Down, Mute) during casting using the DUT remote.
Change the audio output language or audio track on the smartphone/tablet during casting.
Enable/disable and change subtitle language on the Netflix app from the smartphone/tablet.
Disconnect the smartphone/Tablet wifi connexion",,"DUT is correctly connected to the Android smartphone, and the movie is displayed on the screen.
Video is played on the DUT correctly, with no macroblocks, freezes, glitches, or audio issues. Audio and video are synchronized.
Trick mode functions correctly with smooth operation and maintained audio/video sync on the TV.
Trick mode/Timeshift functions correctly with smooth operation and maintained audio/video sync on the TV.
Volume changes on the smartphone are accurately reflected on the casting device, with smooth audio adjustments.
Volume changes on the remote are accurately reflected on the casting device, with smooth audio adjustments.
The audio changes are accurately reflected on the DUT, with no delay or synchronization issues.
Subtitles display/disable correctly on the casting device, synchronized with the video.
Disconnection of a remote device (Smartphone/Tablet) has no impact on the DUT==>No observed issue on the casted stream: still playing"
Apps_Netflix_Cast functionality from an iOS Smartphone/Tablet,"Open the Netflix app on the iOS smartphone/tablet, launch a movie, then press the cast icon. 
Verify that the DUT name is displayed on the list and can be selected to connect.
Verify the content is played correctly on the DUT.
Use the smartphone to perform trick mode (FFWD and FRWD) during casting.
Perform trick mode (FFWD and FRWD) during casting using the DUT remote and try to play/pause content.
Adjust the volume (Volume Up and Volume Down) on the smartphone/tablet during casting.
Adjust the volume (Volume Up and Volume Down, Mute) during casting using the DUT remote.
Change the audio output language or audio track on the smartphone/tablet during casting.
Enable/disable and change subtitle language on the Netflix app from the smartphone/tablet.
Disconnect the smartphone/Tablet wifi connexion",,"DUT is correctly connected to the iOS smartphone/tablet, and the movie is displayed on the screen
Video is played on the DUT correctly, with no macroblocks, freezes, glitches, or audio issues. Audio and video are synchronized.
Trick mode functions correctly with smooth operation and maintained audio/video sync on the TV.
Trick mode/pause/play functions correctly with smooth operation and maintained audio/video sync on the TV.
Volume changes on the smartphone are accurately reflected on the casting device, with smooth audio adjustments.
Volume changes on the remote are accurately reflected on the casting device, with smooth audio adjustments.
The audio changes are accurately reflected on the DUT, with no delay or synchronization issues.
Subtitles display/disable correctly on the casting device, synchronized with the video.
Disconnection of a remote device (Smartphone/Tablet) has no impact on the DUT==>No observed issue on the casted stream: still playing"
Apps_Netflix_Multi-device casting functionality ,"Start casting from Smartphone A to the DUT.
Cast from Smartphone B (second smartphone) to the same DUT.
Monitor playback on the DUT throughout the test.",,"The DUT displays content from Smartphone A correctly. Actions like play, pause, and volume adjustments on Smartphone A are mirrored accurately on the DUT.
Smartphone B mirrors the content on the DUT. Smartphone A shows the same playback status as Smartphone B. Actions performed on Smartphone B (play, pause, volume adjustments) are mirrored correctly between the DUT and both smartphones and vice versa.
The DUT continues playing content smoothly, maintaining synchronization with both Smartphone A and Smartphone B."
Apps_Netflix_Launch from everywhere,"From the Android menu, go to Apps and launch the Netflix application.
Go back to Home page and press the Netflix button on the RCU.

{*}Note{*}: skip this step if device has no NETFLIX button on RCU
Ensure you're on an other location (on Live channel for example), Using GVA, say ""OK Google Open Netflix"".

{*}Note{*}: Only required for VSBs

GVA= Google Voice Assistant
while DUT is displaying live, the launcher, or under another app (out of Netflix app), using the Mic on the RCU, say ""Open Netflix"".
Open apps area from your launcher then select Netflix app.",,"Netflix application is launched correctly with no crash or black screen.
Netflix app is launched correctly
Netflix app is correctly launched
Netflix is correctly launched
Netflix app can be launched from Custom/Standard launcher"
